City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
329,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,4.61,light rain
330,Yatou,CN,37.15,122.3833,43.11,77,0,4.65,clear sky
331,Grindavik,IS,63.8424,-22.4338,35.6,69,75,13.8,broken clouds
332,Saint Anthony,US,45.0205,-93.218,39.99,87,90,13.8,heavy intensity rain
333,Dalby,AU,-27.1833,151.2667,59.0,94,0,4.61,clear sky
334,Suntar,RU,62.1444,117.6319,-14.19,100,86,1.28,overcast clouds
335,Zyryanka,RU,65.75,150.85,-3.55,96,100,12.86,overcast clouds
336,Paita,PE,-5.0892,-81.1144,87.8,51,0,10.36,clear sky
337,Geraldton,AU,-28.7667,114.6,60.8,67,0,5.75,clear sky
338,Cacule,BR,-14.5033,-42.2222,92.12,21,2,9.35,clear sky
339,Houma,US,29.5958,-90.7195,72.0,64,90,12.66,overcast clouds
340,Jyvaskyla,FI,62.2415,25.7209,37.99,81,75,8.05,broken clouds
341,Udachnyy,RU,66.4167,112.4,-19.77,100,88,4.23,overcast clouds
342,Adrar,MR,20.5022,-10.0711,89.83,8,2,10.0,clear sky
